(base) yikai@PauROG:~/repository$ python train_siglip.py --data-dir Flickr8k --text-encoder transformer --epochs 200 --batch-size 64 --output-dir outputs/resnet_transformer_v4_1
/home/yikai/repository/models/transformer_encoder.py:44: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=num_layers)
device=cuda vocab_size=5158 text_encoder=transformer
epoch=094 train_loss=0.0041 val_loss=0.0289 scale=36.93 bias=-12.74 t2i_R@1=21.04 i2t_R@1=22.23 t2i_R@5=42.45 i2t_R@5=44.69 t2i_R@10=53.28 i2t_R@10=55.07
epoch=095 train_loss=0.0040 val_loss=0.0300 scale=37.05 bias=-12.76 t2i_R@1=19.90 i2t_R@1=22.14 t2i_R@5=42.65 i2t_R@5=44.21 t2i_R@10=53.13 i2t_R@10=54.47
epoch=096 train_loss=0.0039 val_loss=0.0294 scale=37.22 bias=-12.78 t2i_R@1=21.41 i2t_R@1=22.23 t2i_R@5=42.35 i2t_R@5=45.14 t2i_R@10=53.23 i2t_R@10=54.18
epoch=097 train_loss=0.0040 val_loss=0.0300 scale=37.29 bias=-12.80 t2i_R@1=21.16 i2t_R@1=23.36 t2i_R@5=42.47 i2t_R@5=44.03 t2i_R@10=52.83 i2t_R@10=54.36
epoch=098 train_loss=0.0039 val_loss=0.0299 scale=37.42 bias=-12.82 t2i_R@1=21.14 i2t_R@1=22.76 t2i_R@5=42.37 i2t_R@5=43.91 t2i_R@10=52.78 i2t_R@10=54.77
epoch=099 train_loss=0.0039 val_loss=0.0296 scale=37.47 bias=-12.85 t2i_R@1=21.31 i2t_R@1=22.11 t2i_R@5=42.74 i2t_R@5=44.84 t2i_R@10=52.98 i2t_R@10=54.83
epoch=100 train_loss=0.0039 val_loss=0.0299 scale=37.54 bias=-12.87 t2i_R@1=21.11 i2t_R@1=21.78 t2i_R@5=43.54 i2t_R@5=45.23 t2i_R@10=53.84 i2t_R@10=55.64
epoch=101 train_loss=0.0039 val_loss=0.0296 scale=37.62 bias=-12.89 t2i_R@1=21.21 i2t_R@1=21.66 t2i_R@5=43.29 i2t_R@5=43.85 t2i_R@10=53.37 i2t_R@10=54.45
epoch=102 train_loss=0.0038 val_loss=0.0304 scale=37.71 bias=-12.91 t2i_R@1=21.41 i2t_R@1=21.81 t2i_R@5=42.84 i2t_R@5=44.15 t2i_R@10=53.08 i2t_R@10=54.06
epoch=103 train_loss=0.0039 val_loss=0.0299 scale=37.75 bias=-12.93 t2i_R@1=20.62 i2t_R@1=22.05 t2i_R@5=43.34 i2t_R@5=43.71 t2i_R@10=53.10 i2t_R@10=54.80
epoch=104 train_loss=0.0038 val_loss=0.0309 scale=37.85 bias=-12.95 t2i_R@1=20.62 i2t_R@1=22.70 t2i_R@5=42.89 i2t_R@5=43.82 t2i_R@10=53.18 i2t_R@10=53.76
epoch=105 train_loss=0.0038 val_loss=0.0293 scale=37.96 bias=-12.97 t2i_R@1=21.63 i2t_R@1=22.73 t2i_R@5=42.97 i2t_R@5=44.12 t2i_R@10=54.09 i2t_R@10=54.33
epoch=106 train_loss=0.0038 val_loss=0.0306 scale=38.00 bias=-12.99 t2i_R@1=21.43 i2t_R@1=22.14 t2i_R@5=41.48 i2t_R@5=43.71 t2i_R@10=52.46 i2t_R@10=54.77
epoch=107 train_loss=0.0038 val_loss=0.0302 scale=38.04 bias=-13.01 t2i_R@1=21.09 i2t_R@1=22.29 t2i_R@5=42.72 i2t_R@5=44.12 t2i_R@10=53.42 i2t_R@10=54.92
epoch=108 train_loss=0.0038 val_loss=0.0292 scale=38.11 bias=-13.03 t2i_R@1=21.46 i2t_R@1=23.24 t2i_R@5=43.86 i2t_R@5=45.61 t2i_R@10=53.77 i2t_R@10=55.49
epoch=109 train_loss=0.0036 val_loss=0.0294 scale=38.22 bias=-13.05 t2i_R@1=22.32 i2t_R@1=23.60 t2i_R@5=43.21 i2t_R@5=45.20 t2i_R@10=53.42 i2t_R@10=55.34
epoch=110 train_loss=0.0036 val_loss=0.0293 scale=38.30 bias=-13.08 t2i_R@1=22.25 i2t_R@1=24.08 t2i_R@5=44.30 i2t_R@5=46.21 t2i_R@10=53.97 i2t_R@10=56.06
epoch=111 train_loss=0.0035 val_loss=0.0294 scale=38.47 bias=-13.10 t2i_R@1=22.82 i2t_R@1=23.33 t2i_R@5=43.76 i2t_R@5=46.06 t2i_R@10=53.79 i2t_R@10=55.70
epoch=112 train_loss=0.0036 val_loss=0.0287 scale=38.58 bias=-13.12 t2i_R@1=22.67 i2t_R@1=23.57 t2i_R@5=43.78 i2t_R@5=45.41 t2i_R@10=53.92 i2t_R@10=55.04
epoch=113 train_loss=0.0037 val_loss=0.0304 scale=38.61 bias=-13.14 t2i_R@1=21.33 i2t_R@1=23.09 t2i_R@5=43.29 i2t_R@5=45.26 t2i_R@10=53.55 i2t_R@10=54.86
epoch=114 train_loss=0.0036 val_loss=0.0315 scale=38.66 bias=-13.16 t2i_R@1=21.26 i2t_R@1=22.20 t2i_R@5=42.79 i2t_R@5=44.96 t2i_R@10=53.37 i2t_R@10=55.49
